business_id,business_name,declared_turnover,electricity_units,employee_count,freight_movement
B001,Alpha Traders,5000000,12000,45,800
B002,Beta Enterprises,8000000,18000,60,1200
B003,Gamma Supplies,2000000,15000,80,1500
B004,Delta Corp,12000000,25000,90,2000
B005,Epsilon Ltd,3000000,8000,30,500
B006,Zeta Industries,500000,14000,75,1800
B007,Eta Merchants,9000000,20000,70,1100
B008,Theta Traders,1500000,13000,65,1600
B009,Iota Exports,7000000,16000,55,900
B010,Kappa Imports,4000000,9000,35,600
B011,Lambda Goods,6000000,14000,50,850
B012,Mu Retail,11000000,22000,85,1900
B013,Nu Wholesale,800000,16000,70,2100
B014,Xi Distributors,10000000,21000,80,1700
B015,Omicron Stores,3500000,7500,28,450
B016,Pi Logistics,15000000,30000,110,2500
B017,Rho Ventures,600000,18000,90,2200
B018,Sigma Traders,8500000,19000,65,1300
B019,Tau Enterprises,2500000,6000,22,350
B020,Upsilon Corp,13000000,27000,100,2300
